,X401,X402,X403,X404,X405,X406,X407,X408,X409,X410,X411,X412,X413,X414,X415,X416,X417,X418,X419,X420,X421,X422,X423,X424,X425,X4,X5,X6,X7,X8,X9,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121
PF10_0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.68,122.8,239.42,0,292.98,112.73,0,0,0,72.4,0,120.98,0,86.4,56.77,118.13,0,0,216.22,57.25,66.27,68.89,77.88,101.08,0,72.22,228.73,0,48.84,16.6,38.74,891.29,428.3,98.15,190.73,554.13,120.2,184.57,324.44,37.92,114.5,198.32,82.73,76.27,26.5,53.85,0,240.41,66.34,495.89,440.33,155.25,435.84,128.62,227.87,122.04,0,189.28,173.72,127.99,598.57,47.61,0,262.62,0,118.47,812.99,110.38,116.71,113.76,184.02,556.32,118.01,228.94,120.15,186.48,157.71,452.08,268.39,322.08,85.4,176.07,710.71,461.53,328.44,343.02,252.84,280.54,20.82,104.08,511.25,799.7,201.61,326.18,118.9,198.06,53.45,0,0,164.78,219.25,80.86,142.91,478.12,136.69,0,237.13,597.72,153,139.61,206.39,96.62,137.93,239.4,372.62,0
PFC0065c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,6.33,11.61,0,0,0,0,0,0,0,0,11.17,0,15.58,2.6,2.76,1960.94,0,0,112.35,4.05,1.48,20.27,14.18,0,16.98,11.67,0,4.42,6.55,3.87,9.87,54.1,222.02,172.5,69.22,126.51,59.31,88.32,42.16,112.4,65.84,57.38,52.14,30.64,317.37,0,151.81,20.63,38.78,113.96,0,41.53,39.24,37.37,85.63,137.62,79.09,58.5,87.09,132.05,151.33,0,35.62,0,70.09,142.61,36.58,174.46,85.96,152.25,955.21,36.33,166.18,117.55,116.82,19.97,144.18,239.15,356.32,43.98,24.26,27.16,142.86,43.82,106.19,63.2,102.6,0,2.07,82.97,70.99,278.04,158.46,164.34,68.28,211.71,0,0,35.32,126.86,21.13,79.16,213.92,56.93,0,103.02,53.55,28.42,34.32,44.99,32.92,115.51,77.07,392.19,0
PF11_0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,66.1,109.34,0,44.88,37.69,0,0,0,0,0,28.61,0,11.49,23.76,66.35,0,0,0,61.45,10.68,8.43,11.09,16.22,0,36.06,63.4,0,15.17,17.48,19.54,174.01,247.45,63.34,48.7,46.11,0,231.8,155.03,20.9,55.63,69.09,15.35,32.96,19.77,129.63,0,57.87,25.98,177.35,145.96,0,310.76,40.39,99.7,39.17,0,106.84,67.4,36.31,205.68,105.63,0,101.1,0,66.29,326.19,29.44,57.01,38.62,77.25,189.06,17.76,57.01,44.81,28.4,55.93,362.76,105.97,288.63,68.85,50.46,142.55,326.79,155.91,80.96,49.46,62.37,25.06,21.27,182.97,312.78,100.42,724.9,53.49,83.06,73.69,0,0,79.53,110.63,41.3,95.7,301.68,96.51,0,71.36,91.85,21.67,64.4,35.17,9.8,93.32,230.53,0,0
PFF0830w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.59,21.31,31.01,0,11.91,16.34,0,0,0,1294.4,1215.2,59.96,193.76,41.98,34.03,93.91,0,0,48.35,189.11,31.09,40.91,33.7,27.62,0,64.56,41.84,0,35.62,105.93,53.07,94.71,108.54,70.78,82.77,48.71,67.2,118.38,105.45,62.27,127.32,106.41,39.05,68.03,48.41,104.35,347.17,80.63,45.33,252.39,120.52,0,211.98,54.19,236.02,90.95,97.47,99.77,78.82,132,346.87,171.9,252.42,216.3,0,64.43,252.48,37.08,83.21,75.01,80.54,169.11,41.56,170.64,75.68,57.22,140.96,316.54,369.4,240.06,131.83,96.86,85.44,273.19,143.09,110.28,70.67,85.18,0,68.8,209.97,162.52,253.89,215.12,106.98,105.62,250.61,0,2777.34,97.23,287.51,56.19,67.26,249.72,123.84,0,103.39,274.89,140.88,80.07,60.72,43.91,180.85,107.06,555.47,0
PF13_0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.15,44.55,23.33,0,66.23,18.44,325.24,0,0,994.35,0,77.36,28.34,31.7,18.98,25.77,0,0,80.17,118.45,38.04,53.33,39.18,90.39,88.52,63.22,143.32,0,26.46,102.5,13.74,116.08,112.1,37.1,113.19,78.81,98.32,184.06,111.26,84.91,115.43,111.23,62.11,66.97,58.13,63.42,0,180.91,152.44,92.71,199.34,507.99,235.95,80.51,393.16,79.85,213.88,112.32,132.75,148.03,343.58,188.78,665.07,235.42,0,32.69,88.66,26.45,27.67,43.9,91.13,35.69,33.5,77.49,45.4,96.03,242.17,277.9,309.44,210.76,105.39,211.91,526.19,1256.91,154.38,158.45,67.21,119.71,102.17,82.88,220.85,259.09,404.87,377.66,157.57,160.62,90.94,0,0,120.05,400.81,85.88,101.25,237.92,176.67,0,192.14,391.13,73.62,99.01,124.32,142.15,151.2,269.08,243.83,443.33
PF13_0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.53,30.92,12.37,0,5.54,6.52,0,0,0,752.74,0,17.67,0,32.29,19.26,30.05,0,0,0,32.2,20.62,20.9,20.92,7.01,0,5.99,62.03,0,26.23,49.66,11.48,41.66,53.49,90.81,181.29,62.97,62.54,62.73,30.97,9.35,68.56,59.73,37.82,48.84,76.91,0,0,250.17,61.58,153.33,162.26,1292.54,54.11,31.04,264.87,50.81,272.13,75.75,57.62,70.41,209.02,437.23,0,176.11,0,14.66,0,27.01,14.08,36.42,64.44,4.53,24.25,32.86,7.04,32.66,88.53,57.02,419.68,215.29,70.5,112.33,203.88,466.15,77.02,314.97,32.89,105.26,108.32,20.44,103.22,97.65,173.62,496.16,143.73,52.67,58.66,0,0,42.94,818.48,44.06,42.5,27.12,41.21,0,45.97,79.41,103.02,16.96,73.43,132.42,104.77,41.04,0,0
PFB0295w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.39,37.1,35.66,0,41.62,6.12,0,0,0,1484.11,0,53.07,169.27,47.55,40.98,58.97,0,0,56.32,64.98,47.96,51.55,1.63,26.33,72.07,46.89,79.88,0,36.93,18.24,47.77,40.22,133.86,50,133.46,65.56,0,160.37,149.15,17.7,162.94,107.81,29.83,52.21,48.85,84.14,0,117.39,36.53,235.24,141,0,242.58,58.26,271.77,0,0,179.82,95.56,92.36,123.02,277.21,1323.37,62.45,214.09,85.06,0,43.56,92.51,65.53,82.52,294.05,53.89,92.53,95.86,48.52,31.96,374.64,224.69,188.27,50.32,29.68,188.38,238.64,121.98,203.65,52.47,110.05,40.66,78.64,171.34,319.28,122.22,147.01,105.58,195.02,35.12,0,0,80.6,332.6,61.68,146.92,270,119.82,0,138.2,99.37,87.91,113.49,80.5,59.42,66.87,82.52,0,0
PFA0530c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,4.64,0,0,0,0,0,0,0,535.12,0,9.42,0,28.24,3.04,0,0,0,0,3.82,5.1,2.3,14.45,33.22,0,5.68,30.75,0,0,0,3.2,0,84.47,95.02,94.65,32.18,0,33.14,31.27,7.51,68.11,29.02,21.92,48.21,43.25,0,0,0,22.34,0,42.71,0,24.17,36.76,175.07,80.24,0,50.94,43.11,47.22,73.87,50.64,0,46.36,0,31.57,0,29.42,58.38,43.14,75.4,43.02,27.64,0,0,42.54,20.97,0,84.02,11.59,21,12.92,37.42,0,11.41,16.58,7.79,32.94,0,4.84,60.38,55.42,0,61.84,29.61,28.36,35.94,0,0,34.44,81.72,13.5,15.89,7.14,9.52,0,42.74,0,44.38,22.67,38.37,31.69,57.08,13.89,0,0
PF10_0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.09,151.27,159.45,0,232.44,130.69,2827.43,0,0,4392.57,0,200.53,328.81,230.93,117.06,214.14,0,0,218.77,99.79,109.44,71.77,123.92,268.45,46.66,48.1,155.16,0,117.55,59.04,118.65,211.33,325.02,630.51,1054.18,352.45,114.02,368.74,299.88,102.58,189.49,432.79,126.89,217.67,452.46,408.62,0,638.5,245.99,784.85,309.49,1178.17,338.36,113.16,1235.3,370.44,744.12,372.42,462.46,411.37,1022.29,262.15,3855.69,680.16,0,182.22,0,224.96,288.79,243.47,387.15,339.39,198.14,269.58,295.35,334.36,479.22,831.66,910.58,936.59,137.75,383.73,623.73,824.08,254.51,612.49,209.85,358.9,157.97,171.37,656.61,487.7,184.63,1523.27,631.15,211.23,182.51,0,0,419.63,1400.66,143.36,383.22,218.77,201.58,0,222.81,482.52,409.8,111.81,498.9,414.53,351.46,309.91,0,0
PFE1050w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.97,85.25,24.46,0,51.16,42.1,954.52,0,0,277.81,0,97.85,0,39.43,71.11,63.03,0,0,55.38,310.55,49.72,82.54,32.17,64.72,15.75,111.04,77.22,0,148.27,476.23,47.8,128.3,246.81,168.05,411.16,153.36,230.88,405.22,141.97,115.12,174.51,244.54,115.48,111.44,296.45,62.06,0,277.06,458.9,179.62,220.47,298.23,461.97,150.38,466.15,515.71,251.14,986.46,327.09,321.78,527.88,631.28,0,829.52,421.02,111.93,0,76.07,204.68,100.85,259.32,318.48,170.02,166.8,201.53,294.83,561.25,920.99,477.34,374.81,551.68,401.6,2397.71,2138.09,239.92,374.67,194.26,250.53,319.89,88.64,435.26,431.43,146.9,771.22,366.81,285.01,248.25,0,0,308.5,819.08,263.65,1277.52,289.78,346.04,0,178.33,488.57,242.04,189.88,326.46,314.38,456.4,454.45,1073.61,0
