,X401,X402,X403,X404,X405,X406,X407,X408,X409,X410,X411,X412,X413,X414,X415,X416,X417,X418,X419,X420,X421,X422,X423,X424,X425,X4,X5,X6,X7,X8,X9,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121
PF14_0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,10.87,1.29,0,24.31,0,0,0,0,0,0,21.96,0,0,7.51,4,0,0,21.93,30.6,5.4,0,5.1,30.75,0,7.01,8.44,0,0,0,1.32,12.18,26.07,37.07,62.18,28.89,0,155.91,37.86,13.44,32.34,22.4,11.76,11.9,10.79,98.31,0,36.58,13.49,94.85,28.55,0,56.56,17.02,99.07,24.74,0,35.73,62.4,16.75,133.2,17.06,0,55.31,0,25.33,0,15.21,30.88,22.19,47.68,46.47,20.65,120.11,25.75,34.07,49.78,83.37,51.85,42.92,14.81,30.29,30.04,61.95,28.16,30.69,9.62,15.9,0,5.98,95.6,77.34,42.31,343.61,12.79,26.6,19.22,0,0,45.3,50.45,8.33,49.04,36.85,26.45,0,53.61,77.39,41.08,30.53,48.92,22.16,30.64,17.14,0,0
PF10_0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.76,53.97,83.02,0,13.53,15.91,0,0,0,735.29,1182.94,50.68,0,52.14,40.75,80.01,0,0,91.53,53.05,44.71,48.64,56.36,85.57,83.29,87.81,241.19,0,86.7,50.07,53.32,89.18,65.27,43.36,81.26,33.8,0,87.37,49.57,7.16,45.21,68.22,21.11,29.81,60.2,82.07,0,30.54,13.14,100.77,49.51,0,70.09,9.47,75.12,0,0,55.47,82.48,11.38,231.28,42.7,0,58.91,0,63.43,0,38.64,64.44,133.35,56.35,166.24,42.34,20.05,90.26,13.35,37.4,104.39,90.18,95.53,37.61,34.61,71.36,68.95,47,68.33,48.17,22.75,52.88,32.42,65.42,82.63,247.21,191.24,61.01,18.12,69.11,0,0,91.54,120.54,19.93,68.24,88.6,28.21,0,14.91,64.61,11.43,41.4,73.24,32.11,94.61,14.31,0,0
PF08_0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.39,447.93,860.23,0,473.24,105.26,9543.16,0,0,13377.02,0,416.87,416.12,424.07,210.37,245.81,0,0,484.54,130.02,247.89,225.41,347.86,889.83,59.05,344.02,612.43,0,292.51,109.59,323.19,826.57,658.15,974.39,647.27,584.46,577.21,523.69,1145.66,239.89,747.53,856.95,671.15,629.22,242.86,775.73,0,1443.04,262.74,1319.9,1109.25,5964.53,1183.92,349.1,3027.3,468.83,941.77,734.09,515.32,776.07,629.51,515.6,9760.01,481.58,0,541.2,2277.37,557.62,609.17,539.26,1003.45,2095.26,906.76,871.93,568.82,245.5,235.69,855.2,1888.92,1332.15,187.01,244.08,867.77,488.91,1088.49,1259.66,455.31,1392.11,99.97,363.06,1338.25,1811.49,1001.51,2590.69,1196.76,678.27,340.66,0,0,623.27,1577.34,218.25,660.43,1776.34,503.3,0,850.03,1038.19,929.26,685.47,427.07,341.53,362.6,689.77,2684.04,0
PFD0970c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,6.12,3.83,0,12.39,0,883.08,0,0,217.62,0,2.96,0,3.2,7.93,36.25,0,0,3.94,122.92,2.59,1.98,0.92,5.53,1.12,2.84,13.27,0,4.31,38.87,2.01,51.14,103.09,13.78,91.18,72.12,8.22,72.13,47.37,38.66,61.46,48.71,19.57,23.53,19.91,32.4,0,108.48,100.6,121.29,82.13,212.31,138.29,72.91,297.1,211.41,143.05,207.01,113.53,140.3,464.32,624.88,555.81,196.98,59.95,14.89,18.53,6.71,11.1,4.79,21.98,37,7.75,6.48,3.7,9.24,103.55,269.77,131.28,232.12,217.19,229.89,464.78,948.6,112.6,206.96,82.12,63.87,14.24,14.5,101.83,101.44,115.99,174.98,66.36,91.92,181.53,509.58,0,33.77,365.13,17.47,256.55,100.2,80.71,127.39,123.44,180.88,56.62,106.27,56.43,53.9,220.44,140.97,152.86,185.3
PFI0715w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.67,32.51,24.46,0,109.63,0,2044.87,0,0,5956.49,0,110.08,0,49.12,40.63,86.44,0,0,177.99,76.42,26.79,21.15,6.89,27.74,0,14.23,57.06,0,17.29,51.24,21.38,80.02,352.59,136.26,229.39,114.43,0,121.27,204.83,48.27,126.84,175.68,79.57,155.63,107.54,0,0,296.85,85.7,349.89,148.56,2556.23,231.87,92.07,925.79,803.7,538.14,1424.71,215.92,132.53,481.75,215.2,2788.53,165.11,0,84.34,557.72,71.83,83.55,24.01,238.37,179.59,123.87,324.95,153.23,88.53,53.88,225.56,175.35,232.24,282.19,181.18,3528.44,111.75,323.7,442.96,104.07,183.55,0,72.74,348.13,319.56,228.91,619.66,118.65,100.37,231.99,0,0,188.11,415.54,55.59,1406.36,347.87,91.45,0,181.86,104.69,370.46,227.1,142.33,82.88,140.91,278.23,0,0
PF14_0377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.53,43.71,40.43,0,60.89,47.72,8518.03,0,0,4962.14,1774.68,92.19,165.08,101.85,32.91,40,0,0,82.38,73.68,14.09,5.34,36.69,115.52,15.62,5.12,132.04,0,38.01,118.57,36.69,74.95,293.72,483.85,846.19,471.45,228.97,113.61,116.17,114.6,483.78,323.83,70.7,211.11,570.22,615.46,0,503.75,293.65,151.14,547.29,1774.56,57.35,85.22,1229.03,433.96,996.24,387.38,228.02,419.28,554.74,999.56,3871.68,542.07,835.09,73.19,0,130.14,289.99,183.36,404.99,83.11,121.4,120.31,122.49,671.94,254.32,521.93,1228.13,456.79,364.75,421.25,2182.64,2017,132.18,1101.91,102.35,209.94,118.97,33.67,255.59,136.73,1589.16,1434.01,546.81,170.03,153.64,0,0,207.94,1308.85,59.11,495.32,23.57,95.69,0,433.62,678.34,342.91,78.83,354.63,381.16,1367.49,300.46,0,1290.6
PFC0582c-b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,18,0,0,0,1.4,2.97,0,18.92,32.16,12.11,0,10.68,12.67,6.92,10.35,23.89,7.53,0,14.54,0,0,0,11.27,0,0,0,8.88,0,76.88,0,0,42.68,17.57,5.29,27.37,12.12,0,0,0,0,0,6.78,0,18.94,22.79,28.33,13.41,0,21.98,15.64,4.25,0,0,0,15.81,27.22,54.24,176.28,30.03,87.35,0,18.64,0,0,20.38,22.66,0,162.91,0,20.91,12.62,0,0,6.78,19.56,0,41.85,1.71,18.81,0,39.95,165.14,0,27.14,9.11,2.78,6.54,73.15,0,0
PF14_0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.62,16.37,8.25,0,20.26,7.94,0,0,0,244.66,0,13.27,36.61,13.51,14.6,12.2,0,0,18.27,17,7.75,11.84,10.26,17.08,24.25,23.54,30.46,0,6.21,59.62,8.32,8.31,65.15,54.93,70.12,31.44,76.19,107.94,45.77,20.73,77.9,59.39,47.54,34.71,38.32,154.72,0,203.16,99.83,94.58,49.41,262.41,142.25,23.63,165.04,20.62,110.51,49.21,73.44,101.78,151.53,85.2,0,135.07,0,20.56,0,15.82,15.73,29.58,47.35,31.34,18.7,40.03,18.59,39.1,114.2,162.09,482.42,174.83,26.22,42.51,66.73,349.88,56.68,99.48,37.39,101.11,52.78,22.4,146.35,139.67,41.13,201.41,151.74,92.54,28.33,0,0,81.28,196.75,42.73,29.96,70.53,67.76,0,122.88,171.96,22.82,46.8,71.93,73.32,96.14,69.03,0,0
PF08_0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.44,86.37,99.89,0,62.91,30.13,0,0,0,3670.8,814.84,80.95,151.62,69.32,59.91,78.07,0,0,157.62,186.09,53.05,61.69,59.34,117.89,3.59,66.87,101.26,0,76.25,74.41,77.71,176.78,172.34,133.1,198.63,105.95,131.43,213.87,185.01,57.82,211.93,174.45,106.53,112.91,108.23,282.62,407.44,189.27,87.71,479.64,192.59,543.27,315.23,66.86,510.05,64.06,171.56,137.42,129.47,172.57,358.14,309.54,1185.36,186.97,191.74,118.19,177.8,64.85,110.97,96.96,159.87,257.64,91.37,131.21,88.82,68.35,134.52,431.41,749.06,456.54,128.64,95.8,169.37,350.29,145.68,288.31,150.67,172.26,136.58,148.59,317.49,337.56,267.58,592.69,284.72,186.34,111.36,0,0,143.98,611.57,88.61,183.28,405.69,129.71,0,233.13,177.98,149.59,109.51,106.32,125.18,269.95,113.34,488.93,592.65
PF13_0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.16,121.66,91.53,0,148.53,116.41,6464.84,0,0,9280.13,3463.27,249.35,2255.15,378.89,84.88,170.78,0,0,80.39,178.3,271.1,255.25,451.44,626.27,426.72,114.24,170.07,6926.55,195.22,296.96,267.5,111.4,222.93,381.78,269.36,229.39,223.44,119.5,102.48,41.33,139.25,183.3,164.58,220.55,217.85,640.61,0,804.37,126.97,57.94,209.32,577.21,92.84,41.58,1287.35,453.7,729.12,350.07,207.03,118.19,308.09,336.7,2518.76,235.36,814.88,161.88,251.87,151.94,245.24,135.55,319.69,16.22,287.93,146.75,50.33,92.5,228.7,101.85,823.59,515.67,164.38,286.38,259.7,378.52,120.38,575.12,76.37,326.39,232.18,80.31,225.94,171.31,129.24,2705.29,299.16,140.26,117.42,0,0,167.96,733.82,78.71,419.42,49.91,77.21,0,127.88,189.12,368.08,193.48,240.27,177.6,538.99,104.71,0,0
PF13_0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.21,21.25,14.07,0,36.11,42.46,5988,0,0,1962.09,1052.6,85.06,0,57.53,55.77,63.27,0,0,65.15,181.8,21.39,17.94,61.82,81.21,6.18,51.79,52.21,0,145.56,148.47,80.2,44.12,103.24,232.67,449.36,152.46,0,104.23,77.91,61.15,249.32,230.04,140.08,132.58,176.84,405.61,0,253.52,70.72,78.97,171.83,935.61,124.04,64.59,459.26,306.43,196.97,967.22,248.22,268.95,402.75,804.57,0,279.51,1155.75,81.04,0,70.11,157.99,140.62,323.68,134.75,301.58,47.57,163.16,102.35,140.98,350.86,667.47,446.25,340.71,172.89,1279.47,582.86,132.41,537.04,164.27,369.67,62.72,54.73,225.9,139.48,167.58,585.97,441.49,129.96,262.05,0,0,170.16,1041.92,86.34,1265.82,74.17,114.24,0,87.21,287.38,257.64,167.82,193,167.18,233.59,169.73,280.69,0
MAL8P1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,5.57,4.37,0,14.86,2.02,0,142.81,0,248.59,74.9,9.36,18.58,7.05,5.23,7.61,0,39.99,16.24,32.87,7.54,7.49,6.87,13.01,3.52,8.45,13.54,0,6.25,19.48,3.14,23.98,27.57,13.39,28.57,19.95,41.92,59.99,26.07,25.25,35.66,23.73,15.6,17.21,12.78,16.18,0,42.57,33.29,69.48,36.26,16.66,59.4,22.2,129.93,115.23,84.17,95.08,70.63,62.85,144.37,112,363.58,57.31,35.28,10.79,29.08,9.08,12.16,12.36,22.81,21.77,11.12,22.87,11.62,7.79,42.31,113.19,72.07,79.73,43.1,39.75,162.89,154.41,45.67,66.41,32.73,40.94,25.69,16.86,70.95,55.68,93.99,91.53,40.33,33.06,57.67,0,0,30.64,89.9,8.89,66.53,43.13,27.99,0,49.9,98.26,37.67,36.49,35.48,27.24,45.37,30.23,20,0
PF13_0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,374.62,0,14.29,0,8.65,0,13.6,0,0,0,48.09,1.53,0,0,0,0,18.9,3.59,0,10.88,48.36,1.12,1.78,44.37,7.12,14.97,24.15,0,17.22,11.37,14.59,35.77,24.78,4,6.75,5.8,55.79,0,0,4.16,0,37.39,0,24.81,9.65,30.6,294.99,0,32.85,4.31,11.61,70.31,48.35,0,9.74,0,16.58,0,2.7,8.76,15.11,11.69,11.31,6.11,40.89,26.29,28.48,10.17,0,0,60.88,113.47,38,31.45,105.46,47.93,52.26,32.74,4.13,0,10.17,17.24,6.15,180.05,129.94,0,23.83,75.51,0,0,12.17,7.82,19.85,33.38,34.1,12.51,0,15.93,0,0,33.56,2.98,3.33,80.83,14.59,0,0
PFI1085w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.08,42.48,34.75,0,65.25,26.2,2078.1,0,0,2356.34,278.28,85.35,77.66,32.23,69.68,149.8,0,148.44,34.45,420.16,47.11,57.35,50.04,46.3,110.22,60.37,138.75,0,42.36,137.61,22.24,312.45,276.4,78.25,243.1,216.36,197.52,576.54,400.71,479.61,622.55,333.1,169.68,133.61,94.9,148.01,278.32,438.12,641.86,819.51,365.78,1855.46,681.81,398.75,1183.13,845.89,429.67,1255.84,625.11,567.84,2712.08,975.75,3845.66,1708.59,458.41,53.19,80.97,48,26.27,68.84,208.23,96.46,100.84,117.93,103.14,322,1231.56,818.59,565.97,698.17,983.78,1523.3,4558.59,5588.68,747.71,436.07,433.41,353.56,136.83,100.91,648.78,518.24,1570.23,787.2,416.96,341.17,1608.15,2226.56,4453.1,318.65,975.98,166.43,1138.96,605.37,654.26,0,513.15,2378.54,484.03,426.1,442.9,309.65,991.16,1272.32,779.3,1416.9
PFL1790w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,4.29,1.71,0,7.15,0,0,0,0,97.25,0,5.7,116.29,12.17,2.48,1.76,0,0,0,0,4.96,6.58,0,4.52,0,1.55,0,0,4.94,20.88,4.94,1.07,0,19.59,20.78,10.81,0,7.59,6.22,1.74,22.46,9.87,7.53,14.88,36.82,14.46,0,48.38,4.57,0,15.5,0,6.27,7.5,27.84,0,0,7.88,10.75,16.68,12.24,71.42,0,11.77,0,11.17,0,6.7,9.08,5.87,7.57,5.86,5.55,21.19,0,3.18,2.63,91.92,24.77,12.62,5.18,5.62,4.59,9.1,6.21,49.65,2.12,12.34,13.97,5.27,13.87,9.46,18.66,67.38,24.98,17.6,5.87,0,0,11.13,52.57,7.1,12.98,3.01,6.48,0,18.39,0,36.24,8.69,10.7,11.21,12.17,11.34,0,0
PFL1245w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.91,26.59,32.59,0,34.43,7.59,401.66,0,0,1578.74,0,50.94,0,17.36,16.45,20.15,0,0,34.94,84.38,22.47,24.53,14.55,27.22,3.31,22.19,74.49,0,36.92,85.5,21.07,49.82,48.46,57.99,98.07,73.35,218.54,185.12,79.04,53.17,147.26,110.31,63.26,68.48,68.46,104.43,0,194.25,98.49,193.49,164.49,250.91,148.55,64.77,291.83,65.74,105.67,92.98,145.08,90.08,278.64,66.39,0,291.22,88.56,46.05,54.74,43.15,41.01,76.6,84.17,45.83,51.62,102.07,45.12,73.22,191.96,254.61,185.89,155.78,97.19,96.12,242.67,477.15,145.79,152.18,89.39,101.09,50.46,38.08,213.72,153.46,258.42,314.28,114.52,135.14,105.62,0,0,155.16,247.76,74.04,92.03,94.57,114.74,376.38,190.04,267.18,109.09,76.5,128.42,66.12,138.71,120.62,301.1,273.73
MAL7P1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,7.97,4.52,0,10.09,2.22,3411.45,0,0,1584.85,441.14,15.68,20.53,16.22,16.51,33.87,0,29.41,27.3,58.98,11.1,12.33,11.4,15.96,16.5,10.96,12.31,0,9.95,33.4,8.15,26.08,36.51,28.29,71.01,36.22,49.81,81.55,40.55,45.78,122.02,61.33,56.75,46.46,26.91,81.6,0,216.29,137.68,100.97,70.07,367.62,127.23,74.59,900.45,410.32,541.75,385.03,182.94,206.48,491.45,400.13,1844.74,232.55,51.89,15.46,16.05,11.26,14.42,20.03,37.25,13.42,23.02,16.82,15.62,26.37,165.72,275.7,264.29,229.89,187.97,233.75,982.86,835.66,147.87,178.37,62.86,147.49,22.18,22.79,161.5,102.27,230.45,418.89,159.1,87.37,227.1,220.56,0,64.94,410.81,30.21,275.77,67.61,72.16,0,99.64,249.93,157.7,102.98,90.89,98.51,148.51,120.7,88.22,0
PFI0225w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,18.41,10.61,0,19.41,4.89,258.78,0,0,583.96,727.41,32.49,22.55,18.51,10.6,17.08,0,0,33.77,14.9,21.71,23.1,15.04,22.81,14.94,16.9,17.68,0,23.78,27.54,17.97,45.13,26.76,32.76,52.76,34.46,62.57,50.54,20.7,7.69,37.48,26.82,19.22,23.08,29.34,33.64,242.49,56.33,37.27,23.6,40.21,80.84,29.87,16.5,127.92,21.18,34.03,39.12,37.66,35.76,85.44,43.25,0,94.96,0,15,0,13.04,21.14,19.74,37.07,12.49,21.96,20.55,11.45,11.45,100.34,49.92,70.97,56.29,20.16,40.1,121.57,275.6,18.06,45.52,22.21,32.45,70.44,13.8,47.68,37.62,76.02,124.13,48.46,38.2,14.42,0,0,35.42,172.57,21,26.86,23.44,26.4,0,58.23,152.27,49.2,13.6,47.43,43.61,41.66,32.26,0,0
PF11_0393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,15.41,0,0,0,0,0,0,0,0,3.08,0,3.47,0,9.53,0,0,0,0,0,0,0,48.92,0,5.58,70.45,0,3.81,0,1.57,9.13,0,35.53,67.44,28.3,0,123.04,61.98,8.29,32.78,48.08,5.61,18.93,13.55,0,0,0,12.6,133.72,10.48,0,42.22,0,0,0,0,57.97,44.58,4.43,158.05,0,0,77.36,0,41.84,0,36.82,36.84,31.77,77.35,142.54,18.21,286.57,36.86,2.63,19.01,397.81,20.62,68.28,8.84,76.08,93.72,246.39,16.79,0,11.48,20.41,0,7.13,101.41,89.21,0,91.08,21.8,16.7,21.17,0,0,48.34,10.93,2.65,38.99,43.96,45.58,0,58.88,0,0,25.8,33.35,10.89,14.62,20.45,0,0
PF11_0142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.64,231.34,312.91,0,265.15,230.07,7065.47,0,0,7374.3,3863.89,254.55,718.87,153.3,213.52,245.76,0,883.18,187.91,100.84,115.34,141.15,170.7,167.69,38.86,188.92,399.2,4415.91,164.29,93.43,182.85,480.35,446.66,389.89,337.09,162.72,142.45,250.34,336.51,82.85,272.63,392.45,175.48,336.83,306.53,382.89,0,626.77,108.74,396.26,390.09,0,668.68,136.96,1395.95,347.11,619.76,832.64,276.31,228.48,767.34,400.54,5620.18,433.79,519.51,159.36,802.89,143.54,344.77,259.25,327.41,558.45,185.32,636.19,184.5,96.26,216.38,649.4,838.09,1147.85,139.42,163.94,2815.55,546.95,531.77,741.29,269.67,396.83,148.02,209.45,613.91,592.1,280.11,1516.55,384.3,262.81,185.41,2207.95,0,307.01,1003.54,110.75,1054.31,826.83,234.68,0,168.35,180.85,383.99,278.39,261.15,190.91,215.96,180.24,1766.36,1605.78
PF14_0128-b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.93,102.88,65.23,0,40.93,67.37,5344.17,409.01,0,7671.73,0,54.79,133.15,53.55,108.09,141.18,0,0,22.15,1231.49,22.73,23.69,5.15,124.25,100.79,53.12,125.68,0,172.68,608.94,94.11,88.58,105.3,99.45,162.4,164.62,184.7,191.31,91.46,178.34,296.36,236.34,80.21,136.24,131.34,165.49,0,480.24,349.54,230.78,310.59,0,332.94,355.19,2001.06,1550.26,200.92,669,316.69,257.42,1035.98,637,1041.13,537.44,0,45.27,0,51.57,88.37,67.23,107.1,147.5,78.89,72.78,187.23,180.68,349.96,589.43,235.68,317.91,1286.01,735.98,506.36,1355.89,433.62,413.42,174.84,269.2,191.93,168.99,329.45,260.07,1538.32,1619.43,225.16,282.09,770.53,0,0,219.71,416.77,191.85,713.26,289.68,296.87,0,125.47,469.03,331.94,204.9,173.92,93.49,456.4,623.23,572.6,0
PFI0740c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.18,249.25,154.11,0,184.18,288.7,5725.9,0,0,6879.31,5368.3,237.28,249.7,192.55,227.56,257.15,0,0,207.66,263,229.28,236.85,234.05,1145.45,1015.74,409.5,527.22,0,193.66,286.93,170.22,288.67,49.37,152.41,184.37,150.43,519.49,276.51,113.87,34.23,171.45,241.71,76.86,187.83,150.55,186.17,0,277.06,142.18,195.95,203.82,894.68,364.71,75.19,1381.41,421.96,376.69,859.27,310.09,90.42,520.69,220.59,1952.11,509.26,0,158.67,0,113.89,107.22,134.46,186.36,201.15,122.41,45.5,126.77,116.54,363.91,157.88,302.76,149.01,141.43,389.52,702.26,743.11,266.57,426.34,154.8,243.06,119.96,215,340.06,316.64,200.31,4699.39,179.94,220.05,176.39,0,0,311.13,620.8,196.69,922.54,312.54,264.4,0,107.96,146.56,596.46,174.63,262.49,112.33,232.06,259.68,1073.61,0
PFC0855w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,15.08,4.86,0,45.76,0,0,0,0,1450.09,0,63.2,0,34.17,53,75.17,0,0,0,39.87,43.2,20.06,38.37,57.88,0,33,75.42,0,9.02,95.05,39.04,19,49.05,106.13,167.86,72.81,0,127.97,46.1,10.9,79.11,107.46,37.64,104.53,79.08,123.35,0,137.67,31.83,97.37,49.61,0,98.6,21.35,288.2,232.95,0,79.35,109.67,70.03,317.71,149.72,0,93.33,0,66.01,0,49.12,87.18,108.57,92.6,49.97,85.33,45.21,48.45,42.28,46.85,156.91,292.76,282.72,27.87,21.01,67.41,38.86,79.47,134.81,45.25,87.26,119.21,5.62,158.24,140.75,0,287.4,134.12,59.29,27.83,0,0,109.17,280.44,31.36,141.51,67.85,60.85,0,110.5,364.14,0,71.81,98.28,74.84,72.08,64.52,0,0
PFC0255c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.73,271.3,303.66,0,365.19,354.66,4442.4,0,0,10998.43,8329.92,278.35,1291.44,337.2,132.42,336.44,0,0,214.82,175.23,318.31,329.93,224.65,321.34,48.87,103.04,301.62,0,128.34,148.41,389.59,188.18,306.38,510.55,276.86,268.79,716.54,72.47,180.32,35.41,123.52,456.23,309.98,400.27,315.94,1219.77,0,1146.46,75.08,228.04,357.15,1851.07,410.59,77.78,2311.21,630.48,389.69,363.95,223.99,360.82,387.94,339.51,2019.35,246.59,653.32,259.58,0,312.1,514.23,330.36,333.27,429.17,361.43,470.61,121.05,170.32,68.27,326.66,490.97,756.78,351.85,156.18,810.22,445.06,468.79,541.28,178.98,754.93,62.05,169.74,458.33,496.12,0,5085.77,508.34,348.31,182.48,0,0,260.76,898.22,102.28,345.87,184.41,115.17,0,255.05,151.62,509.71,429.83,232.37,157.07,279.09,83.95,0,0
PFE1350c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.74,520.17,450.22,0,545.72,264.17,5988,0,0,13080.46,14034.34,824.98,3394.33,471.76,390.42,553.66,0,1496.98,521.19,517.43,476.87,508.03,136.26,162.42,765.78,541.66,956.5,0,392.39,443.84,593.35,911.14,1084.02,562.17,473.92,359.57,905.43,739.05,560.08,128.04,366.59,694.02,403.06,459.62,488.07,1103.27,0,1376.26,379.47,597.65,448.05,0,964.82,303.29,2443.39,392.23,393.94,590.09,689.32,350.01,1230.08,343.22,6123.93,1355.97,0,578.83,408.27,429.65,764.46,720.66,693.45,1012.3,488.05,856.32,377.3,588.36,968.15,495.33,641.82,779.19,281.13,795.75,592.53,981.61,1045.38,830.9,457.09,694.29,439.06,650.86,857.9,925.62,125.67,3175.39,705.66,526.78,278.17,0,0,749.49,1189.48,318.97,589.21,982.08,486.06,2806.84,343.78,536.46,786.46,615.87,714.71,348.55,445.93,458.26,0,0
PF13_0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.94,17.04,12.82,0,3.83,9.01,357.22,0,0,1405.17,0,81.21,0,19.91,43.49,67.97,0,0,31.1,303.76,11.06,10.41,4.82,9.69,11.79,12.71,48.85,0,174.48,98.48,43.27,56.6,197.14,157.12,416.85,167.39,86.45,146.73,115.09,103.73,397.38,122.78,64.78,88.14,75.97,216.86,0,86.46,207.91,101.89,155.74,1339.94,114.49,69.71,259.73,234.05,94.02,402.29,212.44,223.66,714.15,780.25,974.43,404.79,157.63,43.29,97.45,46.88,26.76,35.66,159.57,81.58,94.85,68.13,36.51,380.38,263.56,453.21,674.06,341.54,422.16,348.97,732.81,849.35,83.17,246.71,77.28,163.45,29.94,19.77,151.26,118,719.96,216.57,219.4,111.84,501.1,0,0,136.45,731.46,51.98,443.55,66.27,116.02,0,89.29,292.68,135.93,128.66,218.95,171.63,924.66,271.43,535.96,487.25
MAL7P1.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.76,20.42,14.75,0,11.57,29.02,2157.86,0,0,1969.5,404.62,40.01,62.74,13.34,26.8,51.69,0,0,20.87,170.69,17.69,17.58,19.88,15.61,0,19.69,26.69,0,49.11,104.84,20.24,112.5,138.91,56.62,137.6,95.62,43.51,126.36,86.32,99.34,147.31,105.38,49.21,69.09,77.6,49.89,0,177.51,142.46,123.09,101.38,269.77,157.75,100.4,787.58,424.05,435.41,258.27,171.98,184.47,438.11,354.72,1765.57,307.1,63.47,37.64,19.62,28.92,32.82,25.76,74.09,53.07,52.67,77.73,43.61,72.11,196.7,289.6,145.15,211.71,312.53,210.31,481.09,1037.73,188.21,135.36,58.57,85.87,42.2,23.03,128.77,122.56,467.04,326.99,125.04,96.92,385.36,269.75,0,99.35,285.36,44.77,242.69,106.65,140.28,0,132.64,265.16,142.05,117.71,114.52,78.72,258.46,182.68,53.96,196.19
